Region,Diameter,Age,Length,Events
Area 9,150,40,0.02234,0
Area 9,150,42,33.68225,56
Area 9,150,43,0.19817,0
Area 9,150,44,0.08836,0
Area 9,150,45,1.25358,2
Area 9,150,46,0.05397,0
Area 9,150,47,0.64622,2
Area 9,150,48,1.33027,2
Area 9,150,49,0.22247,1
Area 9,150,50,71.65766,160
Area 9,150,53,0.10349,0
Area 9,150,63,0.01298,0
Area 9,150,66,0.07174,0
Area 9,150,68,0.45138,2
Area 9,150,70,39.64092,76
Area 9,150,71,1.57141,8
Area 9,150,77,2.20306,3
Area 9,150,84,0.42932,0
Area 9,150,85,51.18441,145
Area 9,150,88,0.44904,1
Area 9,150,89,0.33496,0
Area 9,150,91,0.3486,0
Area 9,150,93,0.22248,0
Area 9,150,94,0.28478,0
Area 9,150,95,27.48207,42
Area 9,225,3,0.0367,0
Area 9,225,5,0.34457,0
Area 9,225,6,0.08743,0
Area 9,225,7,0.24653,0
Area 9,225,8,0.01963,0
Area 9,225,9,0.26367,0
Area 9,225,10,0.61135,1
Area 9,225,11,0.66136,0
Area 9,225,12,7.82195,3
Area 9,225,13,0.18284,0
Area 9,225,14,0.32354,0
Area 9,225,15,13.60184,11
Area 9,225,16,0.03386,0
Area 9,225,18,0.06169,0
Area 9,225,20,0.88808,0
Area 9,225,21,0.12808,0
Area 9,225,22,20.1234,19
Area 9,225,23,1.62905,0
Area 9,225,24,0.87147,0
Area 9,225,26,0.75217,0
Area 9,225,31,0.85037,1
Area 9,225,32,52.42512,38
Area 9,225,33,1.21718,0
Area 9,225,35,0.43804,0
Area 9,225,36,19.2201,8
Area 9,225,38,2.08045,2
Area 9,225,39,0.0287,0
Area 9,225,40,0.82748,0
Area 9,225,42,74.36412,72
Area 9,225,43,0.10627,0
Area 9,225,44,0.96112,0
Area 9,225,45,2.47975,4
Area 9,225,46,0.081,0
Area 9,225,47,0.64524,0
Area 9,225,48,1.19317,0
Area 9,225,50,66.86017,82
Area 9,225,53,0.56113,0
Area 9,225,57,0.08778,0
Area 9,225,59,0.0214,0
Area 9,225,63,0.01589,0
Area 9,225,66,0.05192,0
Area 9,225,68,0.08513,1
Area 9,225,69,0.23539,0
Area 9,225,70,62.43313,103
Area 9,225,71,5.86036,15
Area 9,225,77,8.07006,14
Area 9,225,84,0.46037,0
Area 9,225,85,147.52501,286
Area 9,225,89,1.197,8
Area 9,225,91,0.13481,0
Area 9,225,92,0.01672,0
Area 9,225,93,0.17959,1
Area 9,225,94,0.14402,1
Area 9,225,95,55.44183,82
Area 9,300,3,0.01983,0
Area 9,300,5,0.45945,0
Area 9,300,6,0.03499,0
Area 9,300,7,0.08374,0
Area 9,300,8,0.05983,0
Area 9,300,9,0.1221,0
Area 9,300,10,0.22649,1
Area 9,300,12,0.93253,0
Area 9,300,13,0.26098,1
Area 9,300,15,2.55753,1
Area 9,300,20,0.20696,0
Area 9,300,21,0.00369,0
Area 9,300,22,3.97847,4
Area 9,300,23,0.73728,0
Area 9,300,26,0.12093,0
Area 9,300,31,0.28486,0
Area 9,300,32,5.83376,7
Area 9,300,33,0.26764,0
Area 9,300,34,0.1181,0
Area 9,300,35,0.07597,0
Area 9,300,36,2.89026,3
Area 9,300,37,0.07277,0
Area 9,300,38,0.36211,0
Area 9,300,42,7.61744,6
Area 9,300,45,0.43775,1
Area 9,300,46,0.07867,0
Area 9,300,47,0.65085,0
Area 9,300,48,0.17636,0
Area 9,300,49,0.06697,0
Area 9,300,50,10.7843,12
Area 9,300,53,0.05393,0
Area 9,300,57,0.05987,0
Area 9,300,66,0.07706,0
Area 9,300,70,11.36945,8
Area 9,300,71,0.41902,0
Area 9,300,77,2.40101,3
Area 9,300,85,21.9485,31
Area 9,300,89,0.74033,0
Area 9,300,95,8.45157,9
Area 9,375,12,0.14995,0
Area 9,375,15,1.35193,1
Area 9,375,22,1.03882,0
Area 9,375,23,0.08732,0
Area 9,375,31,0.04762,0
Area 9,375,32,2.47864,0
Area 9,375,33,0.14326,0
Area 9,375,36,0.30216,0
Area 9,375,38,0.03712,0
Area 9,375,42,1.05395,4
Area 9,375,45,0.08371,0
Area 9,375,48,0.23841,0
Area 9,375,50,1.71885,1
Area 9,375,53,0.00707,0
Area 9,375,70,4.77881,4
Area 9,375,71,0.58265,1
Area 9,375,77,0.39125,0
Area 9,375,85,5.36965,9
Area 9,375,88,0.00583,0
Area 9,375,89,0.14582,0
Area 9,375,95,1.88397,1
Area 9,450,8,0.09752,0
Area 9,450,9,0.00232,0
Area 9,450,11,0.14642,0
Area 9,450,13,0.04644,0
Area 9,450,15,0.49484,0
Area 9,450,18,0.00806,0
Area 9,450,22,0.6593,0
Area 9,450,25,0.1055,0
Area 9,450,31,0.13695,0
Area 9,450,32,0.45233,0
Area 9,450,36,0.29829,0
Area 9,450,38,0.001,0
Area 9,450,42,0.99291,1
Area 9,450,48,0.0778,0
Area 9,450,50,1.54894,2
Area 9,450,70,1.24818,4
Area 9,450,71,0.05977,0
Area 9,450,77,0.52351,0
Area 9,450,84,0.00574,0
Area 9,450,85,2.98922,2
Area 9,450,89,0.10557,0
Area 9,450,95,0.81457,1
Area 9,600,3,0.05933,0
Area 9,600,10,0.00773,0
Area 9,600,15,0.30581,0
Area 9,600,22,0.0117,0
Area 9,600,23,0.02327,0
Area 9,600,32,0.06111,0
Area 9,600,34,0.08926,1
Area 9,600,36,0.0424,0
Area 9,600,42,0.69258,0
Area 9,600,50,0.33084,0
Area 9,600,70,0.03505,0
Area 9,600,71,0.08823,0
Area 9,600,77,0.05249,0
Area 9,600,85,0.76889,0
Area 9,600,89,0.09131,0
Area 9,600,95,0.51276,0
Area 9,900,3,0.12144,0
Area 9,900,15,0.20301,0
Area 9,900,22,0.07422,0
Area 9,900,32,0.06412,0
Area 9,900,42,0.33379,0
Area 9,900,50,0.29718,0
Area 9,900,70,0.32998,0
Area 9,900,85,0.73261,0
Area 9,1050,7,0.06011,0
Area 9,1050,22,0.22911,0
Area 9,1050,70,1.51636,1
Area 9,1050,95,0.24193,0
Area 10,100,6,0.00489,0
Area 10,100,8,0.01902,0
Area 10,100,9,0.00962,0
Area 10,100,15,0.10849,0
Area 10,100,22,0.09272,0
Area 10,100,32,0.22471,0
Area 10,100,36,0.005,0
Area 10,100,42,0.51058,2
Area 10,100,45,0.09837,0
Area 10,100,48,0.08596,0
Area 10,100,50,0.9432,3
Area 10,100,59,0.0113,0
Area 10,100,63,0.09374,0
Area 10,100,68,0.01496,0
Area 10,100,69,0.0622,0
Area 10,100,70,0.861,0
Area 10,100,71,0.29378,2
Area 10,100,77,0.08975,0
Area 10,100,79,0.06055,0
Area 10,100,85,0.93546,1
Area 10,100,95,0.15762,4
Area 10,150,3,0.06246,0
Area 10,150,6,0.10991,1
Area 10,150,7,1.63067,0
Area 10,150,8,1.2247,0
Area 10,150,9,2.30272,6
Area 10,150,10,1.81235,1
Area 10,150,11,1.44917,3
Area 10,150,12,3.49952,6
Area 10,150,13,0.22688,0
Area 10,150,14,0.83695,0
Area 10,150,15,8.80974,15
Area 10,150,16,0.06945,0
Area 10,150,17,0.30934,1
Area 10,150,20,0.30684,2
Area 10,150,21,0.07737,0
Area 10,150,22,16.0112,13
Area 10,150,23,0.16368,0
Area 10,150,25,0.13688,1
Area 10,150,26,0.10674,0
Area 10,150,28,0.76488,2
Area 10,150,29,0.01931,0
Area 10,150,32,14.87328,22
Area 10,150,33,0.10267,0
Area 10,150,34,0.04011,0
Area 10,150,35,0.23849,0
Area 10,150,36,3.51358,10
Area 10,150,39,0.05201,0
Area 10,150,42,29.26844,92
Area 10,150,43,0.0873,0
Area 10,150,45,1.65834,3
Area 10,150,47,0.61849,0
Area 10,150,48,0.22203,3
Area 10,150,49,0.05099,0
Area 10,150,50,43.37294,93
Area 10,150,55,0.02607,1
Area 10,150,59,0.11705,0
Area 10,150,61,0.17546,1
Area 10,150,63,0.00821,0
Area 10,150,67,0.16875,0
Area 10,150,68,0.34343,3
Area 10,150,69,0.16956,1
Area 10,150,70,34.84367,108
Area 10,150,71,4.27298,12
Area 10,150,77,0.1959,3
Area 10,150,79,0.13103,0
Area 10,150,85,41.22409,110
Area 10,150,91,0.28012,0
Area 10,150,94,0.09234,2
Area 10,150,95,25.37823,110
Area 10,225,3,0.09401,0
Area 10,225,5,0.03406,0
Area 10,225,6,0.23856,0
Area 10,225,7,0.18778,0
Area 10,225,8,0.17087,0
Area 10,225,9,0.18461,1
Area 10,225,10,0.17563,0
Area 10,225,11,0.4432,0
Area 10,225,12,24.02617,37
Area 10,225,13,0.50748,0
Area 10,225,14,0.54605,0
Area 10,225,15,23.00045,38
Area 10,225,16,0.27943,0
Area 10,225,17,0.22126,0
Area 10,225,19,0.44179,0
Area 10,225,20,0.49812,0
Area 10,225,21,0.474,3
Area 10,225,22,47.42765,58
Area 10,225,23,1.42796,1
Area 10,225,24,0.59554,1
Area 10,225,25,0.29455,0
Area 10,225,26,2.14578,0
Area 10,225,28,0.19166,0
Area 10,225,29,1.7473,2
Area 10,225,32,77.91022,80
Area 10,225,33,0.09073,0
Area 10,225,34,0.50003,2
Area 10,225,35,1.49786,0
Area 10,225,36,38.78614,62
Area 10,225,39,0.14733,0
Area 10,225,42,125.77641,156
Area 10,225,43,0.54294,0
Area 10,225,45,7.88767,9
Area 10,225,47,1.51964,3
Area 10,225,48,0.81903,0
Area 10,225,49,0.09156,0
Area 10,225,50,107.8099,172
Area 10,225,59,0.08331,0
Area 10,225,61,0.08436,1
Area 10,225,66,0.25744,0
Area 10,225,67,3.05803,1
Area 10,225,68,1.93789,5
Area 10,225,69,1.06944,2
Area 10,225,70,115.5321,213
Area 10,225,71,33.85813,82
Area 10,225,77,2.60378,2
Area 10,225,84,0.01015,0
Area 10,225,85,236.56061,405
Area 10,225,91,0.36665,2
Area 10,225,94,3.47386,3
Area 10,225,95,103.48542,256
Area 10,300,5,0.08733,0
Area 10,300,6,0.10448,0
Area 10,300,7,0.05781,0
Area 10,300,8,0.01443,0
Area 10,300,9,0.6399,0
Area 10,300,10,0.0063,0
Area 10,300,11,0.17072,0
Area 10,300,12,5.83793,2
Area 10,300,13,0.12749,0
Area 10,300,15,4.63861,10
Area 10,300,16,0.03505,0
Area 10,300,17,0.0632,0
Area 10,300,22,7.66968,11
Area 10,300,23,0.13887,0
Area 10,300,25,0.06278,0
Area 10,300,26,0.54928,0
Area 10,300,29,0.7144,0
Area 10,300,32,6.98924,10
Area 10,300,34,0.16061,0
Area 10,300,35,0.03707,0
Area 10,300,36,2.99129,3
Area 10,300,42,15.76047,10
Area 10,300,45,2.45664,6
Area 10,300,47,0.53551,0
Area 10,300,49,0.21034,0
Area 10,300,50,13.05675,21
Area 10,300,59,0.03949,0
Area 10,300,66,0.16912,0
Area 10,300,67,0.63048,2
Area 10,300,68,0.53181,2
Area 10,300,69,0.40904,0
Area 10,300,70,10.78008,13
Area 10,300,71,3.90009,7
Area 10,300,77,0.08581,0
Area 10,300,85,23.57681,41
Area 10,300,91,0.43405,0
Area 10,300,94,0.39543,0
Area 10,300,95,14.79077,18
Area 10,375,6,0.03243,0
Area 10,375,9,0.00838,0
Area 10,375,12,2.18007,3
Area 10,375,13,0.04315,0
Area 10,375,15,2.14335,0
Area 10,375,17,0.16116,1
Area 10,375,20,0.19153,0
Area 10,375,22,3.20295,0
Area 10,375,23,0.04869,0
Area 10,375,25,0.08191,0
Area 10,375,26,0.09916,0
Area 10,375,32,3.62722,2
Area 10,375,34,0.025,0
Area 10,375,36,0.64068,2
Area 10,375,42,6.49793,5
Area 10,375,45,0.96282,1
Area 10,375,47,0.56167,0
Area 10,375,48,0.18912,2
Area 10,375,50,5.50162,4
Area 10,375,66,0.06618,0
Area 10,375,67,0.54734,0
Area 10,375,68,0.34294,1
Area 10,375,69,0.18684,0
Area 10,375,70,4.40387,8
Area 10,375,71,1.0288,1
Area 10,375,77,0.10176,0
Area 10,375,79,0.02572,0
Area 10,375,85,11.96773,21
Area 10,375,91,0.33842,0
Area 10,375,94,0.39949,1
Area 10,375,95,6.19929,5
Area 10,450,12,1.37598,1
Area 10,450,15,1.58031,1
Area 10,450,22,1.99372,1
Area 10,450,28,0.09151,0
Area 10,450,32,2.49234,2
Area 10,450,36,0.44238,1
Area 10,450,42,3.49421,4
Area 10,450,43,0.0322,0
Area 10,450,45,0.33745,1
Area 10,450,47,0.0328,0
Area 10,450,50,2.88927,1
Area 10,450,67,0.05255,1
Area 10,450,68,0.0578,0
Area 10,450,69,0.07045,0
Area 10,450,70,1.23378,0
Area 10,450,71,0.65147,0
Area 10,450,85,5.03573,2
Area 10,450,95,1.26529,2
Area 10,600,9,0.02156,0
Area 10,600,11,0.01745,0
Area 10,600,12,0.16378,0
Area 10,600,15,1.25642,1
Area 10,600,22,1.24307,0
Area 10,600,25,0.68521,0
Area 10,600,32,0.81032,0
Area 10,600,34,0.32463,0
Area 10,600,35,0.24207,0
Area 10,600,42,2.90213,1
Area 10,600,45,0.17096,0
Area 10,600,47,0.56428,1
Area 10,600,50,4.3152,1
Area 10,600,67,0.06591,0
Area 10,600,68,0.08586,0
Area 10,600,70,2.35424,2
Area 10,600,85,2.61188,1
Area 10,600,91,0.34778,0
Area 10,600,95,1.67283,0
Area 10,900,11,0.14975,0
Area 10,900,15,0.28044,0
Area 10,900,22,0.03114,0
Area 10,900,32,0.36849,0
Area 10,900,42,0.30061,0
Area 10,900,43,0.20624,1
Area 10,900,45,0.14221,0
Area 10,900,47,0.17491,0
Area 10,900,50,1.0039,1
Area 10,900,70,0.67042,0
Area 10,900,85,0.60046,1
Area 10,900,95,0.73544,0
Area 10,1050,15,0.42307,0
Area 10,1050,22,0.3481,0
Area 10,1050,32,0.23621,1
Area 10,1050,42,0.47022,0
Area 10,1050,50,0.21174,0
Area 10,1050,67,0.08275,0
Area 10,1050,69,0.12682,0
Area 10,1050,70,0.10734,0
Area 10,1050,71,0.13623,0
Area 10,1050,85,0.40541,0
Area 10,1050,95,0.95993,0
Area 11,100,5,0.0106,2
Area 11,100,7,0.006,0
Area 11,100,9,0.0556,0
Area 11,100,10,0.005,0
Area 11,100,15,0.33422,3
Area 11,100,22,0.22684,0
Area 11,100,24,0.00412,0
Area 11,100,32,0.23847,1
Area 11,100,36,0.02441,0
Area 11,100,42,1.05424,9
Area 11,100,45,0.01627,0
Area 11,100,49,0.00636,0
Area 11,100,50,1.541,12
Area 11,100,69,0.02995,0
Area 11,100,70,0.77534,2
Area 11,100,71,0.04045,0
Area 11,100,84,0.01215,0
Area 11,100,85,0.56205,9
Area 11,100,91,0.02686,0
Area 11,100,92,0.0271,0
Area 11,100,93,0.03236,0
Area 11,100,95,0.73222,4
Area 11,150,3,0.04076,0
Area 11,150,5,0.31202,0
Area 11,150,6,0.29485,3
Area 11,150,7,0.60642,2
Area 11,150,8,3.36288,2
Area 11,150,9,1.03099,2
Area 11,150,10,2.64522,7
Area 11,150,11,4.12471,2
Area 11,150,12,15.903,19
Area 11,150,13,2.80259,1
Area 11,150,14,2.47178,5
Area 11,150,15,19.36015,30
Area 11,150,16,1.4179,0
Area 11,150,17,2.68555,0
Area 11,150,18,0.54808,0
Area 11,150,19,0.10093,0
Area 11,150,21,0.38108,1
Area 11,150,22,37.20813,43
Area 11,150,23,0.53805,1
Area 11,150,24,2.06838,2
Area 11,150,25,0.30041,0
Area 11,150,26,0.03361,0
Area 11,150,27,0.03953,0
Area 11,150,29,0.04985,0
Area 11,150,31,1.29204,3
Area 11,150,32,54.01605,79
Area 11,150,35,0.11099,0
Area 11,150,36,7.96696,18
Area 11,150,37,0.29037,0
Area 11,150,38,0.40532,0
Area 11,150,40,0.14154,0
Area 11,150,42,76.78316,216
Area 11,150,43,0.41089,1
Area 11,150,45,0.42491,1
Area 11,150,49,0.02302,0
Area 11,150,50,78.24424,180
Area 11,150,57,0.79204,0
Area 11,150,61,0.13355,0
Area 11,150,66,0.13512,3
Area 11,150,68,0.00407,0
Area 11,150,69,0.07238,1
Area 11,150,70,42.37604,88
Area 11,150,71,1.80719,1
Area 11,150,77,0.80794,2
Area 11,150,84,0.04556,0
Area 11,150,85,54.7044,96
Area 11,150,86,0.89242,3
Area 11,150,91,0.60234,0
Area 11,150,92,0.10982,0
Area 11,150,93,0.27983,0
Area 11,150,95,28.83168,66
Area 11,225,3,0.05737,0
Area 11,225,5,0.91952,1
Area 11,225,6,0.01514,0
Area 11,225,7,0.54636,0
Area 11,225,8,1.10846,2
Area 11,225,9,0.39755,0
Area 11,225,10,0.32258,2
Area 11,225,11,0.25461,1
Area 11,225,12,14.02396,8
Area 11,225,13,0.16073,0
Area 11,225,14,0.18367,0
Area 11,225,15,10.41869,14
Area 11,225,17,0.04743,0
Area 11,225,18,0.17482,0
Area 11,225,19,0.02805,0
Area 11,225,21,0.16835,0
Area 11,225,22,28.19131,33
Area 11,225,23,1.10936,0
Area 11,225,24,2.41466,0
Area 11,225,25,0.14307,0
Area 11,225,26,0.11551,0
Area 11,225,27,0.06811,0
Area 11,225,31,2.26588,0
Area 11,225,32,44.43241,32
Area 11,225,35,0.4233,1
Area 11,225,36,15.33862,22
Area 11,225,37,0.05185,0
Area 11,225,38,0.31231,2
Area 11,225,42,58.75268,54
Area 11,225,43,0.10492,2
Area 11,225,44,0.25584,0
Area 11,225,45,0.68308,1
Area 11,225,47,0.22958,0
Area 11,225,49,0.1512,0
Area 11,225,50,49.87186,77
Area 11,225,55,0.80468,0
Area 11,225,57,0.00636,0
Area 11,225,61,0.19233,0
Area 11,225,68,0.02302,0
Area 11,225,69,0.09621,0
Area 11,225,70,33.45053,46
Area 11,225,71,8.85006,20
Area 11,225,77,1.12735,1
Area 11,225,85,65.89415,95
Area 11,225,86,0.03463,0
Area 11,225,91,0.02883,0
Area 11,225,92,0.0035,0
Area 11,225,93,0.00917,0
Area 11,225,94,0.18946,1
Area 11,225,95,30.96966,56
Area 11,300,5,0.03085,1
Area 11,300,6,0.02299,0
Area 11,300,8,0.09966,0
Area 11,300,9,0.05513,0
Area 11,300,10,0.35216,0
Area 11,300,11,0.29946,1
Area 11,300,12,2.84634,5
Area 11,300,14,0.00612,0
Area 11,300,15,3.69302,2
Area 11,300,22,4.45289,2
Area 11,300,23,0.08908,0
Area 11,300,24,0.09534,0
Area 11,300,25,0.04535,0
Area 11,300,26,0.125,0
Area 11,300,31,0.40725,0
Area 11,300,32,4.22115,2
Area 11,300,35,0.06902,0
Area 11,300,36,3.23057,0
Area 11,300,37,0.03807,0
Area 11,300,40,0.07119,0
Area 11,300,42,8.59986,7
Area 11,300,45,0.25014,0
Area 11,300,46,0.09392,0
Area 11,300,47,0.28639,0
Area 11,300,50,4.55672,2
Area 11,300,70,3.55872,2
Area 11,300,71,1.67859,1
Area 11,300,77,0.45028,0
Area 11,300,85,7.56421,13
Area 11,300,86,0.0455,0
Area 11,300,95,3.44129,5
Area 11,375,9,0.02066,0
Area 11,375,10,0.00445,0
Area 11,375,12,0.79541,3
Area 11,375,15,0.79574,0
Area 11,375,16,0.10891,0
Area 11,375,22,1.33195,2
Area 11,375,24,0.09469,0
Area 11,375,32,2.4759,0
Area 11,375,36,0.86022,0
Area 11,375,40,0.08612,0
Area 11,375,42,1.62336,4
Area 11,375,45,0.35709,0
Area 11,375,50,2.34119,0
Area 11,375,61,0.09082,0
Area 11,375,70,1.49865,1
Area 11,375,71,0.16892,0
Area 11,375,77,0.16703,0
Area 11,375,85,3.51884,0
Area 11,375,95,2.85167,5
Area 11,450,10,0.17528,1
Area 11,450,12,0.28814,1
Area 11,450,13,0.00267,0
Area 11,450,15,0.35628,0
Area 11,450,22,0.58896,1
Area 11,450,24,0.01627,0
Area 11,450,26,0.06319,0
Area 11,450,32,0.97948,1
Area 11,450,36,0.13862,0
Area 11,450,42,0.56145,2
Area 11,450,50,0.84302,0
Area 11,450,61,0.08811,0
Area 11,450,70,0.53188,0
Area 11,450,71,0.0799,1
Area 11,450,77,0.04494,0
Area 11,450,85,0.72098,1
Area 11,450,95,0.88229,0
Area 11,600,10,0.01303,0
Area 11,600,15,0.21085,0
Area 11,600,22,0.21814,0
Area 11,600,32,0.04472,0
Area 11,600,36,0.04965,0
Area 11,600,39,0.16978,0
Area 11,600,42,0.04111,0
Area 11,600,50,0.13499,0
Area 11,600,70,0.01118,0
Area 11,600,71,0.01923,0
Area 11,600,85,0.12932,0
Area 11,600,95,0.20052,0
Area 11,900,12,0.10151,0
Area 11,900,15,0.16469,0
Area 11,900,22,0.20698,0
Area 11,1050,10,0.11035,0
Area 11,1050,42,0.16112,1
Area 11,1050,50,0.00777,0
Area 11,1050,95,0.07312,0
